order_id,restaurant_id,order_time,queue_length,orders_last_10min,rider_arrival_time,handover_delay,pickup_time,packed_time,actual_prep_time
ORD_000001,52,2026-02-28 05:46:17.386106,20,38,2026-02-28 05:56:45.079115,3.325065559206049,2026-02-28 06:04:49.294218,2026-02-28 06:01:29.790284,15.206736301138758
ORD_000002,53,2026-02-28 22:00:11.008288,5,1,2026-02-28 22:05:58.167017,2.2711399522395643,2026-02-28 22:12:15.881001,2026-02-28 22:09:59.612604,9.810071928434741
ORD_000003,59,2026-02-11 00:42:33.179307,15,14,2026-02-11 00:45:09.410629,4.157284182341442,2026-02-11 01:13:24.199103,2026-02-11 01:09:14.762052,26.693045751356234
ORD_000004,51,2026-02-19 20:19:21.902709,17,3,2026-02-19 20:24:29.902573,3.6069786024553236,2026-02-19 20:50:28.709714,2026-02-19 20:46:52.290998,27.50647148708442
ORD_000005,60,2026-02-03 03:26:28.017070,14,34,2026-02-03 03:35:34.451088,5.026268216890079,2026-02-03 03:49:07.950174,2026-02-03 03:44:06.374081,17.639283524948862
ORD_000006,54,2026-01-31 18:26:59.085889,11,33,2026-01-31 18:35:45.336612,4.9760887608369035,2026-01-31 18:52:48.928748,2026-01-31 18:47:50.363422,20.85462554344602
ORD_000007,62,2026-02-09 03:15:19.562487,17,46,2026-02-09 03:27:45.276132,2.3821768222176836,2026-02-09 03:42:06.236937,2026-02-09 03:39:43.306328,24.395730678687585
ORD_000008,65,2026-01-30 21:06:33.081525,0,43,2026-01-30 21:16:25.730305,3.7073418278348576,2026-01-30 21:17:59.925100,2026-01-30 21:14:17.484590,7.740051090280531
ORD_000009,41,2026-02-27 06:51:40.439450,11,33,2026-02-27 06:57:14.722449,5.081939553102437,2026-02-27 07:14:14.179585,2026-02-27 07:09:09.263212,17.480396040899237
ORD_000010,35,2026-02-13 06:33:15.656188,13,2,2026-02-13 06:40:49.138182,5.1732531454349795,2026-02-13 07:00:57.783981,2026-02-13 06:55:47.388792,22.52887673326804
ORD_000011,42,2026-02-12 08:51:10.379237,6,48,2026-02-12 09:02:59.709125,3.420087977898392,2026-02-12 09:06:46.616133,2026-02-12 09:03:21.410854,12.183860276694826
ORD_000012,36,2026-02-27 20:55:00.058510,18,21,2026-02-27 20:59:50.442051,4.468055333526754,2026-02-27 21:27:53.345912,2026-02-27 21:23:25.262592,28.420068026789895
ORD_000013,84,2026-02-26 07:16:33.721107,6,32,2026-02-26 07:24:51.888485,3.483036067686006,2026-02-26 07:31:33.074795,2026-02-26 07:28:04.092631,11.506192061049203
ORD_000014,97,2026-02-02 22:05:42.610257,14,31,2026-02-02 22:10:59.000448,6.2125662218853615,2026-02-02 22:36:52.443389,2026-02-02 22:30:39.689416,24.951319314694846
ORD_000015,2,2026-02-20 12:04:41.707151,16,48,2026-02-20 12:15:32.657403,5.016715312983349,2026-02-20 12:34:00.679609,2026-02-20 12:28:59.676690,24.299492321549987
ORD_000016,53,2026-02-14 15:45:03.381194,3,10,2026-02-14 15:52:14.464259,5.934353345926184,2026-02-14 15:59:47.452600,2026-02-14 15:53:51.391399,8.800170087780758
ORD_000017,16,2026-02-24 08:48:21.093500,5,15,2026-02-24 08:52:37.099315,4.114972649040814,2026-02-24 09:00:01.412673,2026-02-24 08:55:54.514314,7.557013561582765
ORD_000018,33,2026-02-11 10:22:02.022663,7,0,2026-02-11 10:27:00.291680,3.761395921532209,2026-02-11 10:43:13.882239,2026-02-11 10:39:28.198484,17.436263687895153
ORD_000019,16,2026-02-24 01:24:50.920363,16,1,2026-02-24 01:30:28.440018,3.4310388644951475,2026-02-24 02:03:42.519655,2026-02-24 02:00:16.657323,35.42894933493453
ORD_000020,19,2026-02-21 15:54:29.073411,0,23,2026-02-21 16:01:19.453969,3.8740902184771744,2026-02-21 16:08:55.163156,2026-02-21 16:05:02.717743,10.560738865937086
